JCM Organisms Found in Forest Habitats,,,,
"Here is a table listing the JCM organisms found in ""forest"" and related habitats based on the provided source data:",,,,
JCM_Number,Species name,MEO_ID,Label of MEO,Relation of the query term
JCM_10020,Rhodosporidium toruloides,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_10187,Aspergillus longivesica,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_10496,Graphium penicillioides,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_10497,Graphium penicillioides,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_10498,Graphium penicillioides,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_10499,Graphium penicillioides,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_10871,Amycolatopsis rubida,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_11746,Rhodotorula pinicola,http://purl.jp/bio/11/meo/MEO_0000767,twig,part of
JCM_11747,Rhodotorula pinicola,http://purl.jp/bio/11/meo/MEO_0000767,twig,part of
JCM_11748,Rhodotorula pinicola,http://purl.jp/bio/11/meo/MEO_0000767,twig,part of
JCM_12867,Planotetraspora silvatica,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_14128,Monodictys putredinis,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_14141,Massarina corticola,http://purl.jp/bio/11/meo/MEO_0000767,twig,part of
JCM_1692,Candida bogoriensis,http://purl.jp/bio/11/meo/MEO_0000379,leaf,part of
JCM_1692,Rhodotorula bogoriensis,http://purl.jp/bio/11/meo/MEO_0000379,leaf,part of
JCM_17676,Lophiostoma vitigenum,http://purl.jp/bio/11/meo/MEO_0000767,twig,part of
JCM_17676,Lophiotrema vitigenum,http://purl.jp/bio/11/meo/MEO_0000767,twig,part of
JCM_18304,Rugosimonospora acidiphila,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_18304,Rugosimonospora acidiphila,http://purl.jp/bio/11/meo/MEO_0000109,"temperate grasslands, savannas, and shrubland biome",related
JCM_18864,Niabella thaonhiensis,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_19065,Rummeliibacillus suwonensis,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_19662,Arthrobacter cupressi,http://purl.jp/bio/11/meo/MEO_0000062,wood,part of
JCM_19891,Flavihumibacter solisilvae,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_19985,Burkholderia jirisanensis,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_30363,Mucilaginibacter vulcanisilvae,http://purl.jp/bio/11/meo/MEO_0000091,forest,subClass
JCM_31293,Arvibacter flaviflagrans,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_32202,Mucilaginibacter gotjawali,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_32513,Paenibacillus solisilvae,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_34515,Metabacillus bambusae,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
JCM_35787,Chitinophaga nivalis,http://purl.jp/bio/11/meo/MEO_0000126,forest soil,part of
"The sources include organisms found in ""forest soil,"" ""wood,"" ""leaf,"" and ""twig"" habitats. ""Forest soil"" appears to be a commonly studied habitat within forests, with numerous JCM organisms associated with it.1234... ""Wood,"" ""leaf,"" and ""twig"" represent specific components of the forest ecosystem, indicating that the sources contain information on microorganisms inhabiting various niches within forests.1234... Rugosimonospora acidiphila is associated with both ""forest soil"" and the broader ""temperate grasslands, savannas, and shrubland biome,"" suggesting that this organism may have a wide distribution in terrestrial environments.41 The data also contains the broader term ""forest"" in association with Mucilaginibacter vulcanisilvae, implying that this organism was isolated from a forest environment, but the specific habitat within the forest is not specified.72 Keep in mind that this list may not be exhaustive for all forest-related microorganisms because there is no information on other terms like ""rainforest"" or specific forest types.",,,,